,beds,baths,size,zip_code,price
359,2,1.5,1180,560024,575000
360,3,3.5,1968,560001,980000
361,1,1.0,610,560048,340000
362,2,2.0,1346,560008,800000
363,2,2.5,1320,560038,570000
364,3,3.5,3064,560094,2450000
365,3,2.0,2980,560064,1415000
366,4,3.5,3050,560043,2250000
367,3,2.0,2020,560005,917500
368,3,2.5,1926,560066,1148000
369,2,1.0,1330,560084,479000
370,3,2.0,2410,560064,1083000
371,2,2.5,1580,560092,699000
372,3,1.0,1030,560016,710000
373,3,3.0,1630,560037,615000
374,4,2.5,2370,560001,750000
375,1,1.0,783,560084,530000
376,4,1.0,1310,560001,735000
377,3,2.0,1996,560033,986500
378,3,2.0,1580,560033,820000
379,1,1.0,781,560049,481000
380,2,2.0,1517,560045,1350000
381,4,2.0,2360,560017,950000
382,3,2.0,1496,560001,824500
383,2,2.5,1250,560032,725000
384,2,2.0,1810,560001,1350000
385,1,1.0,531,560066,489000
386,4,2.5,2380,560045,1900000
387,2,2.0,1095,560016,599950
388,2,2.0,1080,560037,533500
389,2,2.0,1146,560025,845000
390,4,2.5,1544,560008,850000
391,1,1.0,707,560049,590000
392,4,3.0,2067,560006,1074900
393,4,3.0,2360,560045,1360000
394,2,2.0,724,560001,430000
395,2,2.5,1649,560064,765000
396,5,2.5,2180,560064,1009975
397,3,2.0,1960,560037,955000
398,1,1.0,727,562106,445000
399,3,2.0,1209,562106,725000
400,1,1.0,650,562107,349000
401,5,3.0,3070,562106,1450000
402,4,2.5,2130,562107,960000
403,4,2.5,2220,562125,1235000
404,4,3.0,2288,562125,1105000
405,2,2.0,1370,562106,1050000
406,5,3.0,3120,562106,795000
407,4,2.5,2180,562106,1275000
408,3,2.0,1590,562106,560000
409,3,1.5,2220,562106,930000
410,1,1.0,813,562125,240000
411,1,1.0,574,562106,280000
412,4,2.0,2480,562107,825000
413,4,3.0,3320,562107,750000
414,2,1.0,1720,562106,575000
415,3,2.0,2050,562125,1265000
416,4,3.0,2370,562106,1830000
417,4,5.0,3660,562106,2695000
418,3,3.5,1670,562106,1115000
419,2,3.5,990,562107,405000
420,3,3.0,3120,560093,1350000
421,3,2.0,2260,560001,1300000
422,2,1.0,650,560071,708888
423,3,3.5,1540,560008,699950
424,3,3.5,1980,560032,1055000
425,3,1.0,2160,560016,920000
426,4,2.5,3080,560063,1650000
427,2,3.0,1740,560045,1395000
428,3,2.0,1900,560003,1766000
429,9,5.0,3940,560064,1089000
430,2,1.5,1366,560086,839000
431,4,1.5,1920,560073,850000
432,1,1.0,715,560002,515000
433,3,2.5,1610,560009,895000
434,6,4.0,2960,560079,1050000
435,4,2.0,1810,560086,945000
436,2,2.0,1125,560046,705000
437,2,2.0,1893,562157,727000
438,3,2.0,1096,560010,875000
439,3,4.5,3760,560040,1570000
440,4,2.5,2720,560097,1315000
441,2,2.0,1510,560057,915000
442,2,2.0,1350,560005,1035000
443,4,3.5,2980,560065,2400000
444,2,2.0,1443,560021,325000
445,2,2.0,1170,560022,428000
446,5,2.0,2260,560013,865000
447,3,2.0,1990,560013,730000
448,2,1.5,1555,560051,677500
449,3,2.0,2350,560104,1140000
450,2,1.0,1440,560043,699950
451,1,1.0,627,560010,429000
452,1,1.0,551,560006,410000
453,2,1.0,770,560014,560000
454,3,2.5,1570,560013,700000
455,1,1.0,699,560013,390000
456,3,3.0,2650,560015,1600000
457,2,1.5,1070,560079,850000
458,3,0.5,1941,560009,892700
459,3,2.5,2030,560020,1439000
460,2,1.0,1620,560043,619000
461,2,2.5,1400,560015,850000
462,3,2.0,2354,560079,938000
463,2,3.5,1155,560096,219700
464,3,1.0,1340,560077,785000
465,2,1.0,903,560054,363500
466,3,1.5,1220,560023,599000
467,2,1.0,1250,560086,500000
468,2,2.0,1040,560003,625000
469,2,1.0,1660,560055,850000
470,1,1.0,744,560033,345000
471,2,1.5,805,560054,500000
472,3,1.0,1060,560055,1125000
473,5,3.5,3160,560054,2300000
474,3,3.0,1120,560025,525000
475,4,2.5,1881,560072,870000
476,5,2.5,3460,560073,2425000
477,1,1.0,376,560096,1000000
478,2,2.0,880,560021,680000
479,1,1.0,794,560003,660000
480,3,2.0,1340,560058,925000
481,4,2.5,2560,560058,1712000
482,4,2.0,2178,560058,880000
483,2,1.0,1180,560094,870260
484,4,3.5,3220,560010,2195000
485,3,3.0,2070,560010,730000
486,3,2.5,2131,560010,1520000
487,2,3.0,970,560064,769900
488,6,3.5,2430,560021,870000
489,3,2.5,1395,560080,725000
490,3,2.5,1810,560092,922000
491,2,1.0,904,560012,520000
492,1,1.0,717,560020,425000
493,5,3.0,2170,560064,775000
494,4,3.0,3120,560042,1670000
495,3,2.0,1870,560021,849000
496,4,3.5,2285,560084,1500000
497,3,2.5,2783,560009,1640000
498,4,2.0,2540,560003,1280000
499,2,2.0,1734,560052,725000
500,2,1.0,1010,560003,870000
501,3,2.5,1420,560097,890000
502,3,1.0,1410,560040,475000
503,3,2.0,2320,560040,880000
504,1,1.0,553,560091,335000
505,3,2.0,1719,560003,1160000
506,4,2.0,2037,560064,1247500
507,1,1.0,954,560022,555000
508,2,1.5,1370,560022,700000
509,2,1.0,1480,560030,905000
510,5,4.5,3636,560007,2840000
511,3,1.5,1780,560050,650000
512,3,2.0,1094,560026,649995
513,1,1.0,830,560002,695000
514,2,2.0,834,560053,351000
515,2,1.5,1035,560085,656500
516,4,3.0,2790,560050,965000
517,2,2.0,859,560002,499950
518,4,3.5,5690,560002,3630000
519,2,1.0,772,560076,409000
520,3,1.0,1430,560083,499800
521,3,2.5,1460,560026,575000
522,3,2.5,1386,560002,999950
523,5,3.0,2310,560103,780000
524,2,1.5,1340,560049,675000
525,2,4.0,1291,560056,800500
526,3,2.5,2320,560068,949000
527,3,2.5,2150,560026,1360000
528,2,2.0,1885,560002,550000
529,3,2.0,1425,560018,750000
530,3,2.5,1810,560018,1000000
531,2,1.0,1280,560053,859000
532,3,3.0,1480,560061,729000
533,3,3.0,2110,560050,1270000
534,2,1.0,1027,560026,300000
535,1,1.0,808,560067,730000
536,3,2.5,1569,560029,950000
537,3,3.0,2247,560062,1725000
538,3,1.0,1220,560062,750000
539,2,1.0,1060,560100,900000
540,4,2.0,1920,560019,1210000
541,1,1.0,804,560019,425000
542,2,1.0,813,560085,452500
543,4,1.5,1740,560026,649950
544,3,1.5,2230,560026,1075000
545,4,2.5,2760,560026,640000
546,3,3.0,1660,560087,795000
547,3,2.5,1360,560068,805000
548,4,4.5,5200,560085,2600000
549,3,2.5,1573,560030,1030000
550,1,1.0,700,560102,645000
551,4,3.0,1700,560076,649000
552,4,3.5,2560,560066,1325000
553,3,2.0,1330,560038,680000
554,4,2.0,2180,560085,838000
555,3,2.0,1350,560078,785000
556,2,1.5,1720,560041,725000
557,4,3.5,3060,560070,3931000
558,2,2.0,954,560011,380000
559,2,2.5,1460,560078,599950
560,4,3.0,1540,560067,1108000
561,1,1.0,709,560067,470000
562,3,1.5,2560,560067,720000
563,1,1.0,534,560085,324000
564,2,2.5,1440,560098,875000
565,1,1.0,627,560034,462750
566,3,2.5,1324,560062,649950
567,2,2.0,1290,560034,635000
568,1,1.0,748,560034,499000
569,2,2.5,1830,560095,1730000
570,3,2.0,1660,560036,795000
571,3,1.0,1964,560078,625000
572,3,2.0,1460,560074,759000
573,1,1.0,683,560004,450500
574,4,2.0,2060,560011,812500
575,4,2.0,1160,560068,710000
576,3,2.0,1540,560048,680000
577,1,1.0,529,560056,265000
578,2,1.0,1860,560037,898000
579,1,1.0,648,560004,515000
580,5,4.0,4490,560067,1150000
581,6,4.0,2310,560076,849000
582,3,3.5,3130,560076,2350000
583,2,1.0,2110,560049,376000
584,3,1.5,1590,560099,700000
585,3,2.5,1280,560087,900000
586,2,1.0,840,560067,495000
587,3,2.0,2020,560019,950000
588,4,3.0,3610,560002,2330000
589,4,3.5,2336,560039,1080000
590,2,1.0,1040,560002,350000
591,1,1.0,620,560075,399000
592,1,1.0,728,560070,360000
593,3,2.5,1970,560087,715000
594,4,3.0,2190,560004,1490000
595,4,3.0,2120,560098,920000
596,2,2.0,1415,560059,449000
597,4,3.5,1835,560067,1299950
598,2,4.5,1670,560027,1115000
599,3,3.5,2570,560004,2000000
600,3,2.0,2060,560027,700000
601,3,2.5,1740,560002,1678000
602,5,3.0,2510,560034,910000
603,2,2.5,1000,560050,660000
604,3,2.0,1516,560061,1150000
605,3,1.0,940,560029,500000
606,4,2.0,2440,560041,1116000
607,5,4.0,2470,560028,1005000
608,2,2.0,1288,560056,755000
609,4,3.5,3240,560087,1995000
610,2,2.0,693,560078,490000
611,3,2.5,1550,560017,825000
612,4,2.0,2080,560049,750000
613,4,3.0,1400,560004,1000000
614,2,2.5,1159,560018,885000
615,2,1.5,901,560047,599000
616,4,3.0,2900,560066,1175000
617,4,2.5,2052,560027,865000
618,1,1.0,773,560070,685000
619,2,2.0,1040,560078,345000
620,2,2.0,2353,560024,1160000
621,2,2.0,1212,562130,600000
622,5,2.0,2640,560070,1000000
623,2,1.0,1090,560069,580000
624,5,2.5,3960,562149,1850000
625,4,1.5,3030,562157,1500000
626,4,2.5,3080,562149,650000
627,1,1.0,700,562157,405000
628,2,1.5,1276,562157,885000
629,3,1.0,910,562149,480000
630,5,3.5,4180,562157,3000000
631,1,1.0,852,562157,430000
632,5,1.5,2830,562130,766000
633,2,1.0,970,562149,600000
634,3,2.0,1576,562130,974999
635,1,1.0,667,562130,327500
636,3,2.0,1080,560081,875000
637,2,5.5,2659,560091,6250000
638,5,5.0,3623,560089,1975000
639,4,3.5,2520,560090,1765000
640,4,3.5,2720,560073,1750000
641,2,2.0,968,560091,715000
642,2,2.0,839,560089,385000
643,2,3.5,2080,560088,1495000
644,2,2.0,693,560089,480000
645,2,2.5,1365,560091,525000
646,2,1.0,1580,560073,500000
647,2,1.0,860,560089,750000
648,2,2.0,1038,560090,600000
649,4,3.0,2860,560090,1600000
650,1,1.0,557,560062,370000
651,2,2.0,1644,560083,2250000
652,5,2.0,2340,560068,613000
653,3,2.5,1810,560076,1000000
654,2,1.0,2530,560082,700000
655,3,3.5,1820,560099,1125000
656,2,1.0,648,560035,430000
657,2,2.5,1448,560060,1325000
658,2,1.0,1660,560083,535000
659,5,3.0,2970,560099,1225000
660,5,4.0,3030,560099,1250000
661,3,2.0,1400,560082,530000
662,2,1.5,900,560083,549755
663,3,2.0,2740,560060,1278500
664,2,1.0,720,560060,545000
665,4,2.5,1880,560060,1050000
666,3,2.5,1681,560060,650000
667,4,2.0,3325,560083,1650000
668,5,3.5,4397,560068,3400000
669,3,1.5,1540,560082,689000
670,3,1.0,1530,560060,435000
671,2,2.0,1015,560062,468000
672,4,3.0,2340,560082,780000
673,1,1.0,836,560062,605000
674,1,1.0,492,560082,205000
675,3,3.0,1880,560082,999950
676,2,2.0,1570,562130,849000
677,4,2.5,1806,562110,745000
678,2,2.0,1595,562110,945000
679,2,2.0,1526,562110,893000
680,3,2.5,1346,562110,899000
681,3,2.0,1600,562110,877500
682,2,2.0,1170,562110,655000
683,3,2.5,1660,562135,690000
684,1,1.0,707,562110,325000
685,3,2.0,1390,562110,899950
686,3,2.0,2900,562110,1305000
687,1,1.0,704,562135,519950
688,3,4.0,2400,562110,1460000
689,3,1.0,1120,562110,985000
690,4,2.0,1710,562110,1170000
691,3,2.0,1880,562110,955000
692,3,3.0,1454,562135,890955
693,14,5.0,3884,562135,1300000
694,3,1.5,2300,562110,1125000
695,4,3.0,2520,562110,1025000
696,4,3.0,3335,562135,1325000
697,3,2.5,2118,562110,837000
698,2,1.0,910,562110,825000
699,4,1.0,2080,562110,800000
700,2,1.0,2520,562110,810000
701,3,2.0,1560,562110,965000
702,2,1.0,1130,561205,1180000
703,1,1.0,543,561204,425000
704,1,1.0,620,561204,524950
705,3,3.0,1720,561203,865000
706,2,2.0,1015,561204,500000
707,1,1.0,530,561203,390800
708,4,2.0,1350,561205,700000
709,3,2.5,1510,561205,717500
710,1,1.5,1021,561203,1099900
711,3,1.0,1730,561204,900000
712,2,2.0,3120,561204,1050000
713,4,2.5,2172,561204,975000
714,3,3.5,1410,561204,740000
715,1,1.0,578,561203,379000
716,2,2.0,1350,561205,960000
717,2,2.0,900,561204,1650000
718,2,2.5,1865,561204,890000
719,2,2.0,1174,561204,779000
720,3,1.5,1250,561204,552000
721,5,3.0,3590,561204,1700000
722,3,2.0,1548,561205,850000
723,4,3.0,3030,561203,1119000
724,1,1.0,622,561203,387000
725,4,2.0,2245,561203,775000
726,4,3.5,2627,561203,1650000
727,4,2.5,3680,561203,1880000
728,2,1.0,2170,561204,950000
729,3,1.0,1600,561203,1023000
730,2,2.5,2803,561203,2320000
731,3,1.5,2120,561203,865000
732,3,2.5,1980,561203,675000
733,3,2.0,1370,561203,1270000
734,1,1.0,723,561203,315000
735,4,1.5,1300,561203,975000
736,3,2.0,1060,561203,599000
737,1,1.0,531,561203,396000
738,2,1.0,770,561203,490000
739,4,3.0,2470,561203,1180000
740,3,2.5,2260,561203,1406000
741,2,1.5,1120,562122,605000
742,3,3.5,1936,562129,1295000
743,2,2.5,1560,562129,730000
744,2,2.0,1020,562129,605000
745,3,2.0,1100,562122,645000
746,3,2.0,2120,562114,1130000
747,2,2.5,1400,562114,1062500
748,2,2.0,1429,562114,855000
749,3,2.5,1320,562122,835000
750,4,4.5,4790,562114,1750000
751,3,1.0,1070,562114,515000
752,2,2.5,1966,562129,1495000
753,2,2.0,1146,562114,675000
754,3,2.5,1047,562114,720000
755,2,1.5,1760,562122,650000
756,2,2.0,1030,562114,826500
757,3,2.0,1514,562114,915000
758,3,1.5,1520,562114,720000
759,4,3.5,3360,562122,1575000
760,3,2.0,1910,562114,725000
761,2,2.5,1550,562114,1051500
762,1,1.0,641,562114,349000
763,3,3.0,1190,562122,765000
764,4,2.0,2640,562122,700000
765,2,1.5,938,562129,425000
766,3,3.5,2206,562122,1116000
767,1,1.0,680,562129,355000
768,2,1.0,749,562122,489000
769,2,2.0,1353,562114,785000
770,1,1.0,250,562119,159000
771,8,4.0,3136,561101,1005000
772,2,2.0,1149,561201,730000
773,1,1.0,861,562131,405000
774,4,2.5,2050,562127,805000
775,2,2.0,1106,562131,700000
776,3,3.5,1930,562127,600000
777,4,3.0,3090,562131,210000
778,3,2.0,2437,562131,1275000
779,2,2.5,1330,562131,699950
780,3,2.0,1680,562127,910000
781,2,2.0,834,561101,552450
782,2,2.0,1112,562131,675000
783,1,1.0,626,561101,275000
784,2,1.0,1230,562127,326000
785,4,2.5,2840,562127,1200000
786,2,1.5,1115,562127,745000
787,4,2.0,2240,561101,750000
788,3,3.0,1687,562127,946000
789,4,3.0,1900,561101,1150000
790,3,3.0,1970,562127,1395000
791,3,2.5,1512,562127,760000
792,1,1.0,696,562131,449000
793,2,1.5,806,561101,510000
794,2,2.0,1319,562127,838000
795,2,1.0,2300,561101,525000
796,2,1.5,1127,562131,1008000
797,4,2.0,2280,562127,640000
798,2,2.0,1120,562127,789500
799,4,3.0,1960,562123,1270000
800,1,1.0,627,562123,335000
801,2,2.0,1228,562123,900000
802,3,2.0,1800,562111,1130000
803,1,1.0,883,562111,500000
804,4,1.0,1190,562111,463900
805,5,5.5,5770,562123,5000000
806,2,2.5,1710,562123,875000
807,2,2.0,968,562111,700000
808,2,1.0,790,562111,532500
809,1,1.0,376,562132,1000000
810,6,5.5,4510,562123,2202718
811,3,2.0,1300,562111,1100000
812,3,3.5,2106,562123,1266000
813,3,2.5,1573,562123,1099950
814,4,2.0,2870,562123,703500
815,4,3.5,4006,562111,2940000
