beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
3,1.5,1340,sqft,5120,sqft,587101,615000
6,3.5,8660,sqft,0.28,acre,587102,4100000
2,2.5,1365,sqft,,,587101,525000
1,1,635,sqft,,,587103,509950
3,1,1800,sqft,0.27,acre,587103,549000
2,1,870,sqft,6554,sqft,587111,555000
3,3.5,1510,sqft,1239,sqft,587111,660000
3,1,1120,sqft,6096,sqft,587111,615000
4,2.5,2580,sqft,0.26,acre,587115,1635000
2,2,875,sqft,,,587115,420000
3,4,2220,sqft,974,sqft,587115,1650000
1,1,607,sqft,,,587115,427000
3,2,1496,sqft,1,acre,587111,910000
4,3.5,2670,sqft,3405,sqft,587207,1022700
2,1.5,1810,sqft,6827,sqft,587204,925000
1,1,582,sqft,0.5,acre,587115,360000
2,2,1006,sqft,,,587204,928000
3,5.5,1530,sqft,1336,sqft,587103,635000
2,1,820,sqft,5100,sqft,587103,490000
3,2,1960,sqft,5000,sqft,587115,950000
4,3,2110,sqft,0.24,acre,587103,760000
4,3.5,3010,sqft,4000,sqft,587207,985000
3,1,2200,sqft,5000,sqft,587111,1250000
3,2.5,1820,sqft,4.05,acre,587207,690000
4,4,3040,sqft,4000,sqft,587111,1585000
3,2,1800,sqft,6180,sqft,587111,936000
1,1,800,sqft,,,587111,450000
3,3,1450,sqft,525,sqft,587111,750000
1,1,756,sqft,,,587204,550000
1,1,742,sqft,,,587204,354000
4,2,2400,sqft,5400,sqft,587111,1385000
2,2,1607,sqft,,,587111,1865000
4,3.5,3057,sqft,7650,sqft,587111,1800000
1,1,649,sqft,,,587111,346600
4,4,3142,sqft,6000,sqft,587103,1600000
3,1,1050,sqft,3750,sqft,587207,399950
3,2,1720,sqft,5000,sqft,587111,855000
3,3.5,2650,sqft,8500,sqft,587207,1095000
2,1.5,2680,sqft,6000,sqft,587111,1125000
4,2.5,2550,sqft,5000,sqft,587120,1560000
9,4,3800,sqft,6000,sqft,587103,1343000
2,2,1320,sqft,,,587204,525000
4,2,1910,sqft,6000,sqft,587207,630000
2,1,773,sqft,0.25,acre,587204,360000
1,1,589,sqft,,,587204,375000
1,1,510,sqft,,,587103,302500
4,3.5,2661,sqft,4081,sqft,587116,1165000
2,2,843,sqft,,,587121,346250
4,3,2250,sqft,5250,sqft,587116,1150000
4,1.5,2080,sqft,5000,sqft,587121,950000
3,3.5,1370,sqft,982,sqft,587116,699500
1,1,699,sqft,4.27,acre,587117,335000
2,3,1840,sqft,9420,sqft,587116,800000
4,3.5,3040,sqft,0.39,acre,587117,1495000
2,1,858,sqft,,,587116,500000
5,8.5,3110,sqft,4455,sqft,587117,1606500
2,2,1147,sqft,564,sqft,587116,749950
2,1,868,sqft,,,587117,415000
2,2.5,1538,sqft,900,sqft,587111,895000
2,1,1480,sqft,4600,sqft,587116,720000
2,2,932,sqft,,,587116,435000
2,2,981,sqft,,,587204,450000
2,2,866,sqft,649,sqft,587116,555000
4,3.5,2000,sqft,1532,sqft,587116,870000
3,3.5,1470,sqft,1375,sqft,587301,845000
2,2,1840,sqft,5000,sqft,587116,1200000
4,2,2230,sqft,5940,sqft,587116,925000
2,1.5,1290,sqft,1332,sqft,587116,795000
3,2.5,1670,sqft,,,587116,600000
1,1,630,sqft,0.24,acre,587301,459000
3,2,1880,sqft,3200,sqft,587116,911000
2,2,1188,sqft,,,587116,1350000
2,1.5,1300,sqft,3146,sqft,587116,570288
1,1,857,sqft,,,587117,529000
2,2,1071,sqft,1.54,acre,587116,605000
5,4,2810,sqft,5000,sqft,587116,1295000
4,2.5,2400,sqft,3200,sqft,587116,1595000
3,3.5,1670,sqft,,,587117,600000
3,2.5,2734,sqft,4000,sqft,587116,1605200
3,2.5,1670,sqft,1687,sqft,587116,865000
3,3,1530,sqft,2260,sqft,587117,745000
4,1,1720,sqft,2835,sqft,587124,543750
3,1,1200,sqft,5786,sqft,587118,1099950
5,3,2030,sqft,5046,sqft,587125,905000
3,2,2370,sqft,4865,sqft,587112,1200000
3,1.5,1720,sqft,3825,sqft,587125,825000
1,1,813,sqft,0.24,acre,587125,680000
3,2,1590,sqft,8937,sqft,587112,720000
1,1,626,sqft,,,587112,389200
2,1,840,sqft,4000,sqft,587202,489000
2,2,1030,sqft,,,587115,575000
5,2.5,2870,sqft,8741,sqft,587125,520000
1,1,792,sqft,,,587125,675000
2,1.5,994,sqft,1494,sqft,587120,580000
3,2,1630,sqft,6000,sqft,587124,630000
3,1.5,1172,sqft,,,587125,685000
3,2,1806,sqft,4400,sqft,587112,799000
4,2.5,3060,sqft,4590,sqft,587118,1450000
5,3.5,3820,sqft,7200,sqft,587118,1350000
2,2,1328,sqft,,,587115,510000
3,2.5,2350,sqft,7200,sqft,587154,1582800
3,2.5,2080,sqft,9880,sqft,587112,977000
3,1,1000,sqft,5960,sqft,587118,710000
2,1.5,1131,sqft,1,acre,587154,685000
4,3,2230,sqft,9625,sqft,587118,1205000
5,3,3130,sqft,5750,sqft,587154,2095000
5,3,3750,sqft,5000,sqft,587112,1580000
2,2,1080,sqft,,,587115,450000
2,2,1720,sqft,5000,sqft,587154,985000
1,1,854,sqft,,,587154,455000
3,2,1286,sqft,870,sqft,587112,738000
2,1.5,1230,sqft,,,587118,650000
2,1,1422,sqft,3399,sqft,587118,715000
4,3.5,3956,sqft,0.29,acre,587115,3200000
6,5,3620,sqft,5500,sqft,587112,1420000
3,1.5,1370,sqft,6556,sqft,587202,659950
1,1,700,sqft,,,587154,325100
2,3,1824,sqft,0.37,acre,587125,2458000
1,1,956,sqft,,,587125,870000
4,2,2370,sqft,5000,sqft,587125,1350000
4,2.5,2200,sqft,5146,sqft,587154,825000
6,3,3020,sqft,0.75,acre,587125,775000
5,3,3400,sqft,0.43,acre,587120,756500
3,1,1660,sqft,4349,sqft,587118,749900
4,2,2080,sqft,7200,sqft,587120,675000
2,1.5,917,sqft,,,587125,625000
2,1,900,sqft,6150,sqft,587154,480000
4,4.5,3960,sqft,7025,sqft,587125,2485000
1,1,889,sqft,,,587207,723000
5,3.5,3310,sqft,6328,sqft,587124,1575000
1,1,621,sqft,0.31,acre,587125,289900
3,3.5,1467,sqft,,,587118,859990
4,2,1910,sqft,5166,sqft,587154,685000
3,2.5,1563,sqft,1950,sqft,587120,839950
5,3.5,3340,sqft,0.24,acre,587202,980000
4,3,2390,sqft,3600,sqft,587118,1300000
2,1.5,1131,sqft,1,acre,587125,670000
2,2,1201,sqft,720,sqft,587112,699950
3,3,1940,sqft,5000,sqft,587120,450000
1,1,519,sqft,,,587118,354000
2,1,1760,sqft,4625,sqft,587115,715000
4,3,1680,sqft,3080,sqft,587124,905000
2,2,1192,sqft,928,sqft,587120,719950
4,4,2300,sqft,3589,sqft,587124,1440000
3,2.5,2304,sqft,5000,sqft,587118,1100000
4,4,2650,sqft,6000,sqft,587154,1000000
5,4,4210,sqft,5200,sqft,587202,2625000
4,3,2840,sqft,9996,sqft,587115,1350000
2,1,980,sqft,4100,sqft,587125,863000
4,4.5,2440,sqft,5000,sqft,586126,1900000
2,2,1140,sqft,2550,sqft,586125,590000
4,3.5,1824,sqft,3250,sqft,586125,1299000
2,2,1115,sqft,0.96,acre,586126,1069000
4,3,2478,sqft,4001,sqft,586126,2095000
2,2,1140,sqft,5445,sqft,586126,665000
3,1.5,1172,sqft,5760,sqft,586126,685000
2,2,1433,sqft,1948,sqft,586126,750000
3,2,1520,sqft,4000,sqft,586126,760000
3,2.5,1380,sqft,2250,sqft,586126,590000
15,6,11010,sqft,0.33,acre,586126,3700000
4,2,1750,sqft,4950,sqft,587119,1025000
3,2.5,3590,sqft,4250,sqft,587301,1725000
1,1,646,sqft,,,587119,332000
5,3,2040,sqft,6180,sqft,587301,605000
2,2,1560,sqft,6750,sqft,587311,980000
2,2.5,1088,sqft,5500,sqft,587311,835000
2,1,1460,sqft,5700,sqft,587311,400000
3,2,1380,sqft,2909,sqft,587121,800000
2,1,1000,sqft,4640,sqft,586113,793000
2,2,1128,sqft,6000,sqft,587301,625000
1,1,776,sqft,1.09,acre,587312,515000
3,2.5,2000,sqft,7440,sqft,587301,799000
3,2,2029,sqft,,,587121,685000
4,5.5,2867,sqft,4983,sqft,587315,1750000
4,3,1180,sqft,4650,sqft,587315,956300
3,2,1920,sqft,3154,sqft,587315,1067000
2,2,2220,sqft,5950,sqft,587311,551000
2,3,1300,sqft,915,sqft,587314,780000
1,1,596,sqft,,,587301,445000
3,2,1460,sqft,5005,sqft,587119,583000
3,2.5,2500,sqft,4305,sqft,587301,1685000
3,2.5,1540,sqft,1037,sqft,587311,852500
5,3,2550,sqft,6604,sqft,587301,940000
2,2,1018,sqft,,,587301,545000
3,2.5,1520,sqft,1062,sqft,587301,540700
1,1,640,sqft,0.35,acre,587119,345000
4,3,2190,sqft,5136,sqft,586126,860000
2,1,930,sqft,6000,sqft,587119,620000
5,2.5,2900,sqft,0.23,acre,587119,800000
4,3.5,2780,sqft,4000,sqft,587301,950000
3,1,2560,sqft,8927,sqft,587121,776000
1,1,613,sqft,,,587311,325000
3,2.5,1566,sqft,1602,sqft,587301,875000
2,2,1245,sqft,4.11,acre,587301,330000
3,2.5,1190,sqft,1290,sqft,587301,750000
5,2.5,2760,sqft,6350,sqft,587119,1025000
4,1.5,3260,sqft,5568,sqft,587119,1695000
4,3,2380,sqft,4635,sqft,587121,1399999
2,2.5,1884,sqft,0.27,acre,587119,925000
3,2.5,1712,sqft,1215,sqft,587301,910000
2,2,1196,sqft,780,sqft,587311,734999
3,2,1098,sqft,2320,sqft,587314,864950
3,3,1250,sqft,6350,sqft,587314,815000
1,1,880,sqft,4500,sqft,587314,700000
2,1.5,822,sqft,,,587315,400000
4,2,1595,sqft,5500,sqft,587119,525000
3,3,2380,sqft,5000,sqft,587119,1230000
3,2,3190,sqft,4380,sqft,587301,2700000
3,2.5,1465,sqft,2973,sqft,587315,1175000
4,2,2910,sqft,8360,sqft,587315,1400000
2,3,1140,sqft,650,sqft,587315,675000
1,1,500,sqft,4000,sqft,587301,385000
3,2,1580,sqft,6400,sqft,587119,942000
1,1,683,sqft,,,587311,601000
5,3,2430,sqft,7812,sqft,587301,915000
2,2,1128,sqft,,,587204,479950
2,2,2360,sqft,5800,sqft,587313,1460000
3,2.5,1396,sqft,4800,sqft,587113,780000
1,1,615,sqft,,,587313,485000
4,2,2340,sqft,7500,sqft,587313,925000
4,1.5,2140,sqft,6511,sqft,587313,700500
4,3,2980,sqft,4480,sqft,587122,1090000
3,1.5,1390,sqft,9350,sqft,587122,412000
2,1,720,sqft,4240,sqft,587312,525000
1,1,712,sqft,,,587313,325000
4,2.5,1850,sqft,2856,sqft,587121,945000
3,4.5,1710,sqft,1326,sqft,587122,725000
2,1,970,sqft,0.35,acre,587313,386000
3,2,1606,sqft,900,sqft,587313,1450000
3,2.5,1815,sqft,1500,sqft,587122,1295000
2,1,1120,sqft,1188,sqft,587122,700000
4,2,2220,sqft,9295,sqft,587312,995000
1,1,570,sqft,,,587113,345000
3,2,1460,sqft,4590,sqft,587122,888000
5,3,3820,sqft,7980,sqft,587313,1575000
3,3.5,2480,sqft,2400,sqft,587312,1795000
5,3,2777,sqft,7026,sqft,587312,1338600
2,2,1170,sqft,588,sqft,587312,624999
1,1,587,sqft,,,587113,260000
3,1,1430,sqft,2280,sqft,587313,980000
2,5.5,1320,sqft,1250,sqft,587121,679950
2,2,2170,sqft,5250,sqft,587312,893000
1,1,635,sqft,,,587121,495000
3,1.5,1630,sqft,6615,sqft,587313,895000
2,2,1900,sqft,2164,sqft,587313,1310000
3,2,1760,sqft,4000,sqft,587122,689000
3,2.5,1712,sqft,1514,sqft,587313,970000
4,2.5,3190,sqft,5500,sqft,587313,1820000
4,3.5,3590,sqft,4000,sqft,587313,2900000
1,1,630,sqft,4895,sqft,587113,255000
2,2,1150,sqft,,,587113,615000
5,2,1830,sqft,5220,sqft,587116,665000
2,1,760,sqft,3072,sqft,587312,250000
3,2.5,2600,sqft,5100,sqft,587313,1148000
3,2,2130,sqft,4850,sqft,587122,990200
3,3.5,2899,sqft,5346,sqft,587313,1800000
3,1,1090,sqft,0.31,acre,587312,400000
4,4,3360,sqft,5000,sqft,587316,1200000
4,2.5,2240,sqft,5229,sqft,587313,1050000
2,1,886,sqft,8863,sqft,587113,620000
3,2,1560,sqft,4960,sqft,587313,799000
4,2,1730,sqft,8100,sqft,587313,852000
3,2,1700,sqft,5346,sqft,587313,1150000
4,3.5,1909,sqft,1544,sqft,587122,1500000
3,2,2180,sqft,3740,sqft,587313,1012000
1,1,681,sqft,,,560004,470000
3,3,1460,sqft,7200,sqft,560034,1000000
1,1,704,sqft,,,560007,365000
2,1,1010,sqft,6750,sqft,560092,549950
2,2.5,1635,sqft,,,560024,1850000
2,1.5,1022,sqft,,,560047,655000
3,1,990,sqft,8100,sqft,560043,635000
2,2,1164,sqft,8280,sqft,560017,706474
1,1,583,sqft,0.29,acre,560001,349000
2,1.5,888,sqft,,,560025,700000
4,2,2740,sqft,6000,sqft,560049,1400000
3,2,1670,sqft,5400,sqft,560001,485000
3,1,830,sqft,7800,sqft,560064,660000
2,2,1200,sqft,1247,sqft,560092,705000
3,3.5,2530,sqft,1880,sqft,560025,1299000
4,3,2660,sqft,5100,sqft,560064,1360000
4,2,2820,sqft,4764,sqft,560001,1441000
2,1,1011,sqft,0.24,acre,560045,159488
2,1.5,1088,sqft,1518,sqft,560036,590000
6,3.5,3785,sqft,5150,sqft,560037,3150000
3,2,1540,sqft,1102,sqft,560001,630000
2,1.5,1180,sqft,0.25,acre,560024,575000
3,3.5,1968,sqft,1498,sqft,560001,980000
1,1,610,sqft,0.59,acre,560048,340000
2,2,1346,sqft,0.53,acre,560008,800000
2,2.5,1320,sqft,1030,sqft,560038,570000
3,3.5,3064,sqft,0.59,acre,560094,2450000
3,2,2980,sqft,5800,sqft,560064,1415000
4,3.5,3050,sqft,6146,sqft,560043,2250000
3,2,2020,sqft,7200,sqft,560005,917500
3,2.5,1926,sqft,1483,sqft,560066,1148000
2,1,1330,sqft,7425,sqft,560084,479000
3,2,2410,sqft,4950,sqft,560064,1083000
2,2.5,1580,sqft,5000,sqft,560092,699000
3,1,1030,sqft,4480,sqft,560016,710000
3,3,1630,sqft,6721,sqft,560037,615000
4,2.5,2370,sqft,3600,sqft,560001,750000
1,1,783,sqft,,,560084,530000
4,1,1310,sqft,6000,sqft,560001,735000
3,2,1996,sqft,4656,sqft,560033,986500
3,2,1580,sqft,6396,sqft,560033,820000
1,1,781,sqft,,,560049,481000
2,2,1517,sqft,,,560045,1350000
4,2,2360,sqft,6120,sqft,560017,950000
3,2,1496,sqft,1,acre,560001,824500
2,2.5,1250,sqft,1027,sqft,560032,725000
2,2,1810,sqft,,,560001,1350000
1,1,531,sqft,,,560066,489000
4,2.5,2380,sqft,5000,sqft,560045,1900000
2,2,1095,sqft,617,sqft,560016,599950
2,2,1080,sqft,1175,sqft,560037,533500
2,2,1146,sqft,800,sqft,560025,845000
4,2.5,1544,sqft,2352,sqft,560008,850000
1,1,707,sqft,0.26,acre,560049,590000
4,3,2067,sqft,1,acre,560006,1074900
4,3,2360,sqft,7200,sqft,560045,1360000
2,2,724,sqft,5400,sqft,560001,430000
2,2.5,1649,sqft,,,560064,765000
5,2.5,2180,sqft,4069,sqft,560064,1009975
3,2,1960,sqft,4400,sqft,560037,955000
1,1,727,sqft,5250,sqft,562106,445000
3,2,1209,sqft,752,sqft,562106,725000
1,1,650,sqft,,,562107,349000
5,3,3070,sqft,3400,sqft,562106,1450000
4,2.5,2130,sqft,6250,sqft,562107,960000
4,2.5,2220,sqft,3770,sqft,562125,1235000
4,3,2288,sqft,6550,sqft,562125,1105000
2,2,1370,sqft,,,562106,1050000
5,3,3120,sqft,7865,sqft,562106,795000
4,2.5,2180,sqft,6099,sqft,562106,1275000
3,2,1590,sqft,3000,sqft,562106,560000
3,1.5,2220,sqft,6270,sqft,562106,930000
1,1,813,sqft,,,562125,240000
1,1,574,sqft,1.17,acre,562106,280000
4,2,2480,sqft,5996,sqft,562107,825000
4,3,3320,sqft,5750,sqft,562107,750000
2,1,1720,sqft,5017,sqft,562106,575000
3,2,2050,sqft,5000,sqft,562125,1265000
4,3,2370,sqft,3880,sqft,562106,1830000
4,5,3660,sqft,0.29,acre,562106,2695000
3,3.5,1670,sqft,905,sqft,562106,1115000
2,3.5,990,sqft,0.86,acre,562107,405000
3,3,3120,sqft,5996,sqft,560093,1350000
3,2,2260,sqft,6000,sqft,560001,1300000
2,1,650,sqft,3780,sqft,560071,708888
3,3.5,1540,sqft,2322,sqft,560008,699950
3,3.5,1980,sqft,1659,sqft,560032,1055000
3,1,2160,sqft,5100,sqft,560016,920000
4,2.5,3080,sqft,0.3,acre,560063,1650000
2,3,1740,sqft,4148,sqft,560045,1395000
3,2,1900,sqft,4000,sqft,560003,1766000
9,5,3940,sqft,5303,sqft,560064,1089000
2,1.5,1366,sqft,,,560086,839000
4,1.5,1920,sqft,0.24,acre,560073,850000
1,1,715,sqft,,,560002,515000
3,2.5,1610,sqft,1690,sqft,560009,895000
6,4,2960,sqft,3796,sqft,560079,1050000
4,2,1810,sqft,5100,sqft,560086,945000
2,2,1125,sqft,,,560046,705000
2,2,1893,sqft,9.2,acre,562157,727000
3,2,1096,sqft,1,acre,560010,875000
3,4.5,3760,sqft,7000,sqft,560040,1570000
4,2.5,2720,sqft,8000,sqft,560097,1315000
2,2,1510,sqft,7200,sqft,560057,915000
2,2,1350,sqft,815,sqft,560005,1035000
4,3.5,2980,sqft,4800,sqft,560065,2400000
2,2,1443,sqft,,,560021,325000
2,2,1170,sqft,,,560022,428000
5,2,2260,sqft,3848,sqft,560013,865000
3,2,1990,sqft,8710,sqft,560013,730000
2,1.5,1555,sqft,0.96,acre,560051,677500
3,2,2350,sqft,4400,sqft,560104,1140000
2,1,1440,sqft,6090,sqft,560043,699950
1,1,627,sqft,1.06,acre,560010,429000
1,1,551,sqft,,,560006,410000
2,1,770,sqft,5896,sqft,560014,560000
3,2.5,1570,sqft,1342,sqft,560013,700000
1,1,699,sqft,,,560013,390000
3,3,2650,sqft,8612,sqft,560015,1600000
2,1.5,1070,sqft,1726,sqft,560079,850000
3,0.5,1941,sqft,3726,sqft,560009,892700
3,2.5,2030,sqft,3999,sqft,560020,1439000
2,1,1620,sqft,0.39,acre,560043,619000
2,2.5,1400,sqft,1112,sqft,560015,850000
3,2,2354,sqft,4400,sqft,560079,938000
2,3.5,1155,sqft,,,560096,219700
3,1,1340,sqft,7669,sqft,560077,785000
2,1,903,sqft,4.06,acre,560054,363500
3,1.5,1220,sqft,6350,sqft,560023,599000
2,1,1250,sqft,4500,sqft,560086,500000
2,2,1040,sqft,6800,sqft,560003,625000
2,1,1660,sqft,4800,sqft,560055,850000
1,1,744,sqft,,,560033,345000
2,1.5,805,sqft,5000,sqft,560054,500000
3,1,1060,sqft,4000,sqft,560055,1125000
5,3.5,3160,sqft,6200,sqft,560054,2300000
3,3,1120,sqft,4800,sqft,560025,525000
4,2.5,1881,sqft,1881,sqft,560072,870000
5,2.5,3460,sqft,7464,sqft,560073,2425000
1,1,376,sqft,0.23,acre,560096,1000000
2,2,880,sqft,0.23,acre,560021,680000
1,1,794,sqft,,,560003,660000
3,2,1340,sqft,2211,sqft,560058,925000
4,2.5,2560,sqft,6582,sqft,560058,1712000
4,2,2178,sqft,6800,sqft,560058,880000
2,1,1180,sqft,,,560094,870260
4,3.5,3220,sqft,6250,sqft,560010,2195000
3,3,2070,sqft,4227,sqft,560010,730000
3,2.5,2131,sqft,1036,sqft,560010,1520000
2,3,970,sqft,593,sqft,560064,769900
6,3.5,2430,sqft,5580,sqft,560021,870000
3,2.5,1395,sqft,1418,sqft,560080,725000
3,2.5,1810,sqft,6925,sqft,560092,922000
2,1,904,sqft,,,560012,520000
1,1,717,sqft,0.27,acre,560020,425000
5,3,2170,sqft,7500,sqft,560064,775000
4,3,3120,sqft,9750,sqft,560042,1670000
3,2,1870,sqft,4000,sqft,560021,849000
4,3.5,2285,sqft,1792,sqft,560084,1500000
3,2.5,2783,sqft,7206,sqft,560009,1640000
4,2,2540,sqft,4700,sqft,560003,1280000
2,2,1734,sqft,,,560052,725000
2,1,1010,sqft,0.34,acre,560003,870000
3,2.5,1420,sqft,1873,sqft,560097,890000
3,1,1410,sqft,7080,sqft,560040,475000
3,2,2320,sqft,4000,sqft,560040,880000
1,1,553,sqft,,,560091,335000
3,2,1719,sqft,1056,sqft,560003,1160000
4,2,2037,sqft,3326,sqft,560064,1247500
1,1,954,sqft,,,560022,555000
2,1.5,1370,sqft,938,sqft,560022,700000
2,1,1480,sqft,6734,sqft,560030,905000
5,4.5,3636,sqft,6180,sqft,560007,2840000
3,1.5,1780,sqft,4800,sqft,560050,650000
3,2,1094,sqft,2332,sqft,560026,649995
1,1,830,sqft,5100,sqft,560002,695000
2,2,834,sqft,,,560053,351000
2,1.5,1035,sqft,,,560085,656500
4,3,2790,sqft,0.35,acre,560050,965000
2,2,859,sqft,,,560002,499950
4,3.5,5690,sqft,7469,sqft,560002,3630000
2,1,772,sqft,,,560076,409000
3,1,1430,sqft,0.37,acre,560083,499800
3,2.5,1460,sqft,1850,sqft,560026,575000
3,2.5,1386,sqft,1065,sqft,560002,999950
5,3,2310,sqft,4011,sqft,560103,780000
2,1.5,1340,sqft,4342,sqft,560049,675000
2,4,1291,sqft,1361,sqft,560056,800500
3,2.5,2320,sqft,4400,sqft,560068,949000
3,2.5,2150,sqft,0.32,acre,560026,1360000
2,2,1885,sqft,,,560002,550000
3,2,1425,sqft,759,sqft,560018,750000
3,2.5,1810,sqft,1436,sqft,560018,1000000
2,1,1280,sqft,2690,sqft,560053,859000
3,3,1480,sqft,9127,sqft,560061,729000
3,3,2110,sqft,7324,sqft,560050,1270000
2,1,1027,sqft,,,560026,300000
1,1,808,sqft,,,560067,730000
3,2.5,1569,sqft,1553,sqft,560029,950000
3,3,2247,sqft,866,sqft,560062,1725000
3,1,1220,sqft,5000,sqft,560062,750000
2,1,1060,sqft,3250,sqft,560100,900000
4,2,1920,sqft,0.41,acre,560019,1210000
1,1,804,sqft,,,560019,425000
2,1,813,sqft,,,560085,452500
4,1.5,1740,sqft,9205,sqft,560026,649950
3,1.5,2230,sqft,3500,sqft,560026,1075000
4,2.5,2760,sqft,6001,sqft,560026,640000
3,3,1660,sqft,625,sqft,560087,795000
3,2.5,1360,sqft,916,sqft,560068,805000
4,4.5,5200,sqft,7653,sqft,560085,2600000
3,2.5,1573,sqft,1255,sqft,560030,1030000
1,1,700,sqft,,,560102,645000
4,3,1700,sqft,7320,sqft,560076,649000
4,3.5,2560,sqft,4080,sqft,560066,1325000
3,2,1330,sqft,1539,sqft,560038,680000
4,2,2180,sqft,5100,sqft,560085,838000
3,2,1350,sqft,1055,sqft,560078,785000
2,1.5,1720,sqft,1588,sqft,560041,725000
4,3.5,3060,sqft,0.96,acre,560070,3931000
2,2,954,sqft,0.33,acre,560011,380000
2,2.5,1460,sqft,1536,sqft,560078,599950
4,3,1540,sqft,3060,sqft,560067,1108000
1,1,709,sqft,,,560067,470000
3,1.5,2560,sqft,6150,sqft,560067,720000
1,1,534,sqft,,,560085,324000
2,2.5,1440,sqft,3000,sqft,560098,875000
1,1,627,sqft,,,560034,462750
3,2.5,1324,sqft,2217,sqft,560062,649950
2,2,1290,sqft,1192,sqft,560034,635000
1,1,748,sqft,0.26,acre,560034,499000
2,2.5,1830,sqft,,,560095,1730000
3,2,1660,sqft,6120,sqft,560036,795000
3,1,1964,sqft,9050,sqft,560078,625000
3,2,1460,sqft,1554,sqft,560074,759000
1,1,683,sqft,0.29,acre,560004,450500
4,2,2060,sqft,5080,sqft,560011,812500
4,2,1160,sqft,4224,sqft,560068,710000
3,2,1540,sqft,1124,sqft,560048,680000
1,1,529,sqft,,,560056,265000
2,1,1860,sqft,2526,sqft,560037,898000
1,1,648,sqft,,,560004,515000
5,4,4490,sqft,5220,sqft,560067,1150000
6,4,2310,sqft,5012,sqft,560076,849000
3,3.5,3130,sqft,0.28,acre,560076,2350000
2,1,2110,sqft,8160,sqft,560049,376000
3,1.5,1590,sqft,3797,sqft,560099,700000
3,2.5,1280,sqft,1845,sqft,560087,900000
